apellido,municipio
FIGUEROA,PONCE
MALDONADO,PONCE
PIETRI,PONCE
RODRIGUEZ,PEÑUELAS
VELAZQUEZ,PONCE
GONZALEZ,PONCE
VELEZ,PONCE
PACHECO,SABANA GRANDE
RIVERA,PONCE
BATIZ,PONCE
JOUBERT,SAN JUAN
MERCADO,UTUADO
GONZALEZ,PONCE
FLORES,PONCE
RIVERA,PONCE
OLIVERAS,GUAYANILLA
HOMS,PONCE
RUIZ,YAUCO
VELEZ,LAJAS
ALAMEDA,LAJAS
AROCHO,LARES
PEREZ,SABANA GRANDE
ALMODOVAR,SABANA GRANDE
PLAZA,ADJUNTAS
PLAZA,ADJUNTAS
PLAZA,ADJUNTAS
OQUENDO,UTUADO
TORRES,GUANICA
FLORES,GUANICA
ORTIZ,CABO ROJO
MONTANEZ,LARES
CARRERO,ISABELA
CORDERO,ADJUNTAS
TORRES,ADJUNTAS
TORRES,ADJUNTAS
HERNANDEZ,GUANICA
LAJARA,GUANICA
PACHECO,GUANICA
APONTE,GUANICA
MALDONADO,PEÑUELAS
FLORES,CABO ROJO
NEGRON,CABO ROJO
JORGE,CABO ROJO
RODRIGUEZ,MAYAGUEZ
MONTES,GUAYNABO
PEREZ,LAJAS
TORO,LAJAS
JUSTINIANO,ARECIBO
SEIJO,MANATI
MIRANDA,MOROVIS
TORRES,HORMIGUEROS
TORRES,ADJUNTAS
BORRERO,GUANICA
MEJIAS,SAN JUAN
MALDONADO,UTUADO
RIOS,PONCE
RODRIGUEZ,PEÑUELAS
VAZQUEZ,PONCE
MUÑOZ,GUAYANILLA
RODRIGUEZ,PONCE
SANTIAGO,PEÑUELAS
RODRIGUEZ,PEÑUELAS
ALVARADO,PONCE
MALDONADO,PONCE
DEL VALLE,UTUADO
MUNOZ,GUAYANILLA
RODRIGUEZ,LAJAS
DELGADO,UTUADO
FERNANDEZ,UTUADO
FERNANDEZ,UTUADO
IRIZARRY,PONCE
SANTIAGO,PEÑUELAS
MEDINA,UTUADO
MEDINA,UTUADO
SANTANA,PONCE
SANTIAGO,PONCE
TORRES,PEÑUELAS
BORDONABA,SABANA GRANDE
VALLE,SABANA GRANDE
RODRIGUEZ,UTUADO
CRUZ,PONCE
RIVERA,PONCE
PEREZ,PEÑUELAS
MERCADO,PONCE
MORALES,PONCE
GONZALEZ,PONCE
CARABALLO,PONCE
CORTES,PONCE
RIVERA,PONCE
ARROYO,PONCE
RODRIGUEZ,UTUADO
