municipio,poblacion
Adjuntas,19483
Aguada,41959
Aguadilla,60949
Aguas Buenas,28659
Aibonito,25900
Añasco,29261
Arecibo,96440
Arroyo,19575
Barceloneta,24816
Barranquitas,30318
Bayamon,208116
Cabo Rojo,50917
Caguas,142893
Camuy,35159
Canovanas,47648
Carolina,176762
Cataño,28140
Cayey,48119
Ceiba,13631
Ciales,18782
Cidra,43480
Coamo,40512
Comerio,20778
Corozal,37142
Culebra,1818
Dorado,38165
Fajardo,36993
Florida,12680
Guanica,19427
Guayama,45362
Guayanilla,21581
Guaynabo,97924
Gurabo,45369
Hatillo,41953
Hormigueros,17250
Humacao,58466
Isabela,45631
Jayuya,16642
Juana Diaz,50747
Juncos,40290
Lajas,25753
Lares,30753
Las Marias,9881
Las Piedras,38675
Loiza,30060
Luquillo,20068
Manati,44113
Maricao,6276
Maunabo,12225
Mayaguez,89080
Moca,40109
Morovis,32610
Naguabo,26720
Naranjito,30402
Orocovis,23423
Patillas,19277
Peñuelas,24282
Ponce,166327
Quebradillas,25919
Rincon,15200
Rio Grande,54304
Sabana Grande,25265
Salinas,31078
San German,35527
San Juan,395326
San Lorenzo,41058
San Sebastian,42430
Santa Isabel,23274
Toa Alta,74066
Toa Baja,89609
Trujillo Alto,74842
Utuado,33149
Vega Alta,39951
Vega Baja,59662
Vieques,9301
Villalba,26073
Yabucoa,37941
Yauco,42043
